Serial.no,Century,Region,Level,Sub_level,Records,data_type,data_source,material,Proxy,Record,Variable,Avg,abs_4_negative,log,z_score_cal,Mean,Mean_n,sd_100,Latitude,Longitude,Elevation..m.,Zone,Group,abs_4_log_R,log_value_R,z_score_R,exp_log_R,sub_zone,,,
51,1000,Torneträsk,Atm,Air temperature,d13Ccell,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.0435,1.0625,-0.026328939,0.40242138,-0.036805391,0.424438118,0.446391537,68.2,19.8,,High-Latitude,32,1.0625,-0.060624622,0.359936624,0.941176471,East,,,
52,1100,Torneträsk,Atm,Air temperature,d13Ccell,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.106,1,0,1.364680112,-0.700364121,1.324892375,0.371896586,68.2,19.8,,High-Latitude,32,1,0,1.220606999,1,East,,,
53,1200,Torneträsk,Atm,Air temperature,d13Ccell,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-23.9023,1.2037,-0.080518261,-1.578066654,1.462306493,-1.609868138,0.398060589,68.2,19.8,,High-Latitude,32,1.2037,-0.185400146,-1.411465724,0.830771787,East,,,
54,1300,Torneträsk,Atm,Air temperature,d13Ccell,Proxy,Tree,Tree ring,Tree-rings,d13C,Temp,-24.0426,1.0634,-0.026696656,0.388982208,-0.027250145,0.411471577,0.432520496,68.2,19.8,,High-Latitude,32,1.0634,-0.061471322,0.347916263,0.940379913,East,,,
55,800,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.36,1.1217,0.04987672,-0.549889411,-0.674401224,-0.674401224,0.553461102,47.5,12.5,,Mid-Latitude,0,1.1217,0.114845392,-0.501978058,1.1217,West,,,
56,900,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.2078,1.2739,0.105135338,0.572486828,0.383627143,0.383627143,0.461737124,47.5,12.5,,Mid-Latitude,0,1.2739,0.242083061,0.522606583,1.2739,West,,,
57,1000,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.0512,1.4305,0.155487862,1.59521377,1.472242402,1.472242402,0.543751057,47.5,12.5,,Mid-Latitude,0,1.4305,0.358024034,1.456224277,1.4305,West,,,
58,1100,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.2312,1.2505,0.097083696,0.408947248,0.220960495,0.220960495,0.560287228,47.5,12.5,,Mid-Latitude,0,1.2505,0.223543471,0.373316054,1.2505,West,,,
59,1200,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.349,1.1327,0.054114901,-0.463806309,-0.597933997,-0.597933997,0.536655373,47.5,12.5,,Mid-Latitude,0,1.1327,0.124604163,-0.423395296,1.1327,West,,,
60,1300,Alps,Land,Land surface temperature,Temp_anom..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.4817,1,0,-1.562952126,-1.520406824,-1.520406824,0.580130698,47.5,12.5,,Mid-Latitude,0,1,0,-1.42677356,1,West,,,
61,800,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,0.2682,1.5588,0.192790397,1.602079725,1.563785,1.563785,0.541704378,63,14.05,370-750,High-Latitude,7,1.5588,0.443916294,1.462492008,1.5588,West,,,
62,900,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.2906,1,0,-1.616827704,-1.555650671,-1.555650671,0.511223172,63,14.05,370-750,High-Latitude,7,1,0,-1.475955008,1,West,,,
63,1000,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,0.0491,1.3397,0.127007557,0.503742491,0.340684865,0.340684865,0.523573763,63,14.05,370-750,High-Latitude,7,1.3397,0.292445708,0.459851876,1.3397,West,,,
64,1100,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.0218,1.2688,0.10339317,0.109467008,-0.055106096,-0.055106096,0.419206514,63,14.05,370-750,High-Latitude,7,1.2688,0.238071572,0.099929249,1.2688,West,,,
65,1200,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.1608,1.1298,0.05300157,-0.731891777,-0.831057346,-0.831057346,0.531036113,63,14.05,370-750,High-Latitude,7,1.1298,0.122040626,-0.668122727,1.1298,West,,,
66,1300,Jämtland,Atm,Air temperature,Temp_anom..AMJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,-0.0176,1.273,0.104828404,0.133430257,-0.031660087,-0.031660087,0.483771212,63,14.05,370-750,High-Latitude,7,1.273,0.24137632,0.121804603,1.273,West,,,
67,800,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5505,12.5505,1.098661028,-0.2405103,-0.241207155,-0.241207155,0.791144644,68.5,27.5,260,High-Latitude,10,12.5505,2.529760505,-0.219554861,12.5505,East,,,
68,900,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5776,12.5776,1.099597779,1.012295714,1.011837044,1.011837044,0.71821344,68.5,27.5,260,High-Latitude,10,12.5776,2.531917454,0.924095329,12.5776,East,,,
69,1000,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5913,12.5913,1.100070572,1.644606219,1.645294813,1.645294813,0.706894839,68.5,27.5,260,High-Latitude,10,12.5913,2.533006099,1.501313207,12.5913,East,,,
70,1100,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5319,12.5319,1.098016921,-1.101936262,-1.101230111,-1.101230111,0.892388346,68.5,27.5,260,High-Latitude,10,12.5319,2.528277393,-1.005925579,12.5319,East,,,
71,1200,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5359,12.5359,1.098155519,-0.916575504,-0.916278938,-0.916278938,0.747311809,68.5,27.5,260,High-Latitude,10,12.5359,2.528596528,-0.836715132,12.5359,East,,,
72,1300,Laanila,Atm,Air temperature,Temp..JJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.5471,12.5471,1.098543359,-0.397879867,-0.398415653,-0.398415653,0.790003574,68.5,27.5,260,High-Latitude,10,12.5471,2.529489563,-0.363212964,12.5471,East,,,
73,800,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.9869,13.9869,1.14572147,0.19190274,0.365144463,0.365144463,0.755739914,68.15,24.375,330,High-Latitude,21,13.9869,2.638121177,0.175182433,13.9869,East,,,
74,900,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,14.3543,14.3543,1.156982019,1.028567784,1.053416618,1.053416618,0.802622287,68.15,24.375,330,High-Latitude,21,14.3543,2.664049549,0.938949629,14.3543,East,,,
75,1000,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,14.5328,14.5328,1.162349297,1.427359548,1.387811229,1.387811229,0.684738511,68.15,24.375,330,High-Latitude,21,14.5328,2.676408164,1.302995037,14.5328,East,,,
76,1100,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.7661,13.7661,1.13881092,-0.321554964,-0.04849324,-0.04849324,0.9636252,68.15,24.375,330,High-Latitude,21,13.7661,2.622209048,-0.293538179,13.7661,East,,,
77,1200,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.3407,13.3407,1.125178618,-1.334442598,-0.845420227,-0.845420227,0.675901575,68.15,24.375,330,High-Latitude,21,13.3407,2.590819513,-1.218173854,13.3407,East,,,
78,1300,Northern Fennoscandia (Matskovsky),Land,Land surface temperature,Temp..JJ.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.4831,13.4831,1.129789756,-0.991832511,-0.578653883,-0.578653883,0.736529804,68.15,24.375,330,High-Latitude,21,13.4831,2.601437049,-0.905415066,13.4831,East,,,
79,800,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.01408,13.01408,1.114413472,0.807433485,0.882435346,0.882435346,0.80244365,62.325,28.325,,High-Latitude,3,13.01408,2.566031848,0.737082555,13.01408,East,,,
80,900,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.67697,12.67697,1.103015463,-0.277029745,-0.040712438,-0.040712438,0.922355301,62.325,28.325,,High-Latitude,3,12.67697,2.539786961,-0.252892401,12.67697,East,,,
81,1000,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,13.15729,13.15729,1.119166447,1.259655129,1.274604058,1.274604058,0.925611807,62.325,28.325,,High-Latitude,3,13.15729,2.576975978,1.149902548,13.15729,East,,,
82,1100,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.45744,12.45744,1.095428804,-0.998862108,-0.641877141,-0.641877141,1.052990089,62.325,28.325,,High-Latitude,3,12.45744,2.522318035,-0.91183218,12.45744,East,,,
83,1200,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.31172,12.31172,1.09031873,-1.485059939,-1.040919279,-1.040919279,0.89437331,62.325,28.325,,High-Latitude,3,12.31172,2.510551654,-1.355668047,12.31172,East,,,
84,1300,Finnish Lakeland,Land,Land surface temperature,Temp..MJJAS.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,12.97836,12.97836,1.113219817,0.693863179,0.784619088,0.784619088,0.857850927,62.325,28.325,,High-Latitude,3,12.97836,2.563283355,0.633407525,12.97836,East,,,
85,800,Torneträsk,Land,Land surface temperature,Temp_TRW..MJJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,9.6012,9.6012,0.982325516,-1.356532852,-0.503831971,-0.503831971,0.732938296,68.26,19.625,350-450,High-Latitude,31,9.6012,2.261888091,-1.238339405,9.6012,East,,,
86,900,Torneträsk,Land,Land surface temperature,Temp_TRW..MJJA.,Proxy,Tree,Tree ring,Tree-rings,Tree ring,Temp,10.1475,10.1475,1.00635906,0.864928628,0.818273182,0.818273182,0.655927711,68.26,19.625,350-450,High-Latitude,31,10.1475,2.31722737,0.7895682,10.1475,East,,,
